name,location,vendor_categories,review,average_rating,count,image_count,reply_count,lat,lng,full_address,sido,gu,dong,shared_location_count,store_type,review_rank
푸라닭-신림점,"{'lat': '37.4847535198519', 'lng': '126.927367337399'}","['야식', '프랜차이즈', '치킨', '포장']","{'average_rating': 4.9, 'count': 6283, 'image_count': 5650, 'reply_count': 6283}",4.9,6283,5650,6283,37.48475352,126.9273673,서울특별시 관악구 신림로65길 37,서울,관악구,신림동,1,독립 매장,23
족발부심-본점,"{'lat': '37.4809306', 'lng': '126.94609105'}","['아시안', '고기/구이', '족발/보쌈', '포장', '야식']","{'average_rating': 5.0, 'count': 484, 'image_count': 459, 'reply_count': 471}",5,484,459,471,37.4809306,126.9460911,서울특별시 관악구 청룡길 20,서울,관악구,봉천동,2,소규모 샵인샵,288
평안도순대국감자탕-신림점,"{'lat': '37.4832584', 'lng': '126.92110321'}","['포장', '한식', '1인분주문']","{'average_rating': 4.7, 'count': 4200, 'image_count': 2586, 'reply_count': 4171}",4.7,4200,2586,4171,37.4832584,126.9211032,서울특별시 관악구 남부순환로 1535,서울,관악구,신림동,1,독립 매장,40
너가찾던곱도리탕-본점,"{'lat': '37.4908773', 'lng': '126.93019749'}","['찜/탕', '한식', '포장', '야식']","{'average_rating': 5.0, 'count': 642, 'image_count': 530, 'reply_count': 571}",5,642,530,571,37.4908773,126.9301975,서울특별시 관악구 당곡2길 22,서울,관악구,봉천동,3,소규모 샵인샵,236
백억커피-봉천역점,"{'lat': '37.4817797', 'lng': '126.94140659'}","['카페/디저트', '포장', '프랜차이즈', '야식']","{'average_rating': 4.9, 'count': 1007, 'image_count': 720, 'reply_count': 626}",4.9,1007,720,626,37.4817797,126.9414066,서울특별시 관악구 장군봉1길 24,서울,관악구,봉천동,1,독립 매장,168
멕시카나-봉천점,"{'lat': '37.4823266', 'lng': '126.9448119'}","['프랜차이즈', '치킨', '포장']","{'average_rating': 4.8, 'count': 4961, 'image_count': 4062, 'reply_count': 2872}",4.8,4961,4062,2872,37.4823266,126.9448119,서울특별시 관악구 남부순환로 1751,서울,관악구,봉천동,3,소규모 샵인샵,31
야미닭발,"{'lat': '37.4834327', 'lng': '126.94723948'}","['고기/구이', '포장', '야식', '신규맛집']","{'average_rating': 4.9, 'count': 33, 'image_count': 39, 'reply_count': 31}",4.9,33,39,31,37.4834327,126.9472395,서울특별시 관악구 양녕로2길 9,서울,관악구,봉천동,1,독립 매장,781
샵볶음밥-신림점,"{'lat': '37.4874494', 'lng': '126.93312628'}","['샐러드', '한식', '분식', '포장', '야식']","{'average_rating': 5.0, 'count': 1241, 'image_count': 935, 'reply_count': 1237}",5,1241,935,1237,37.4874494,126.9331263,서울특별시 관악구 봉천로 287,서울,관악구,봉천동,4,대규모 공유주방,142
싸다김밥-신림역점,"{'lat': '37.484438', 'lng': '126.92880372'}","['한식', '분식', '일식/돈까스', '야식', '포장', '프랜차이즈']","{'average_rating': 4.7, 'count': 1623, 'image_count': 1407, 'reply_count': 0}",4.7,1623,1407,0,37.484438,126.9288037,서울특별시 관악구 남부순환로 1603,서울,관악구,신림동,1,독립 매장,122
파스타예요-신림점,"{'lat': '37.4873758', 'lng': '126.9331862'}","['피자/양식', '야식', '포장', '프랜차이즈', '1인분주문']","{'average_rating': 5.0, 'count': 2486, 'image_count': 2099, 'reply_count': 1121}",5,2486,2099,1121,37.4873758,126.9331862,서울특별시 관악구 봉천로 287-1,서울,관악구,봉천동,1,독립 매장,80
