name,location,vendor_categories,review,average_rating,count,image_count,reply_count,lat,lng,full_address,sido,gu,dong
돈까스브로스-관악점,"{'lat': '37.4767357', 'lng': '126.95418767'}","['한식', '일식/돈까스', '야식', '포장', '프랜차이즈']","{'average_rating': 4.8, 'count': 584, 'image_count': 477, 'reply_count': 296}",4.8,584.0,477.0,296.0,37.4767357,126.95418767,서울특별시 관악구 남부순환로228길 69,서울,관악구,봉천동
교촌치킨-봉천4호점,"{'lat': '37.483313', 'lng': '126.9412329'}","['프랜차이즈', '치킨']","{'average_rating': 4.7, 'count': 3174, 'image_count': 2119, 'reply_count': 1942}",4.7,3174.0,2119.0,1942.0,37.483313,126.9412329,서울특별시 관악구 봉천로 374,서울,관악구,봉천동
캔플러스Coffee&Dessert-신림점,"{'lat': '37.4883011', 'lng': '126.92709586'}","['샐러드', '분식', '카페/디저트', '야식', '포장']","{'average_rating': 4.9, 'count': 151, 'image_count': 101, 'reply_count': 0}",4.9,151.0,101.0,0.0,37.4883011,126.92709586,서울특별시 관악구 봉천로8길 25,서울,관악구,신림동
감쪽같이-조원본점,"{'lat': '37.4827014445571', 'lng': '126.911379182179'}","['한식', '고기/구이', '찜/탕', '야식', '포장']","{'average_rating': 4.8, 'count': 1941, 'image_count': 1269, 'reply_count': 1672}",4.8,1941.0,1269.0,1672.0,37.4827014445571,126.911379182179,서울특별시 관악구 조원로16길 33,서울,관악구,신림동
대한냉면-관악점,"{'lat': '37.4798287', 'lng': '126.95756445'}","['한식', '분식', '일식/돈까스', '프랜차이즈', '포장']","{'average_rating': 4.9, 'count': 2887, 'image_count': 2509, 'reply_count': 1385}",4.9,2887.0,2509.0,1385.0,37.4798287,126.95756445,서울특별시 관악구 남부순환로 1869,서울,관악구,봉천동
동대문엽기떡볶이-신대방역점,"{'lat': '37.4859135', 'lng': '126.9134476'}","['분식', '프랜차이즈']","{'average_rating': 4.8, 'count': 583, 'image_count': 455, 'reply_count': 41}",4.8,583.0,455.0,41.0,37.4859135,126.9134476,서울특별시 관악구 난곡로 357,서울,관악구,신림동
호식이두마리치킨-보라매점,"{'lat': '37.4895595', 'lng': '126.92877103'}","['프랜차이즈', '치킨', '포장']","{'average_rating': 4.9, 'count': 245, 'image_count': 227, 'reply_count': 243}",4.9,245.0,227.0,243.0,37.4895595,126.92877103,서울특별시 관악구 당곡길 5,서울,관악구,봉천동
정성비빔밥-신림점,"{'lat': '37.486915', 'lng': '126.92595687'}","['찜/탕', '한식', '프랜차이즈', '도시락/죽', '야식', '포장', '신규맛집']","{'average_rating': 4.8, 'count': 6, 'image_count': 4, 'reply_count': 4}",4.8,6.0,4.0,4.0,37.486915,126.92595687,서울특별시 관악구 신림동길 25,서울,관악구,신림동
고깃집철판볶음밥-신림점,"{'lat': '37.4847421', 'lng': '126.93998828'}","['한식', '분식', '고기/구이', '포장', '야식']","{'average_rating': 5.0, 'count': 105, 'image_count': 74, 'reply_count': 105}",5.0,105.0,74.0,105.0,37.4847421,126.93998828,서울특별시 관악구 봉천로29길 9,서울,관악구,봉천동
이불속닭도리탕,"{'lat': '37.484597', 'lng': '126.92759424'}","['찜/탕', '한식', '치킨', '포장', '야식', '신규맛집']","{'average_rating': 5.0, 'count': 1, 'image_count': 1, 'reply_count': 0}",5.0,1.0,1.0,0.0,37.484597,126.92759424,서울특별시 관악구 남부순환로 1597-11,서울,관악구,신림동
삼과일-본점,"{'lat': '37.4854486', 'lng': '126.92872326'}","['카페/디저트', '포장', '샐러드', '야식', '샌드위치']","{'average_rating': 4.9, 'count': 19, 'image_count': 12, 'reply_count': 18}",4.9,19.0,12.0,18.0,37.4854486,126.92872326,서울특별시 관악구 신림로65길 10-9,서울,관악구,신림동
피자와썹-본점,"{'lat': '37.4884326', 'lng': '126.90787864'}","['피자/양식', '포장', '야식', '프랜차이즈']","{'average_rating': 5.0, 'count': 1050, 'image_count': 1028, 'reply_count': 597}",5.0,1050.0,1028.0,597.0,37.4884326,126.90787864,서울특별시 동작구 신대방3길 73,서울,동작구,신대방동
보드람치킨(1인)-신대방점,"{'lat': '37.4978928661329', 'lng': '126.928242238138'}","['야식', '치킨']","{'average_rating': 4.9, 'count': 648, 'image_count': 464, 'reply_count': 0}",4.9,648.0,464.0,0.0,37.4978928661329,126.928242238138,서울특별시 동작구 보라매로 96-1,서울,동작구,신대방동
고추장찌개자신있는집-신림점,"{'lat': '37.4851285', 'lng': '126.93824039'}","['찜/탕', '한식', '야식', '도시락/죽', '포장']","{'average_rating': 5.0, 'count': 1194, 'image_count': 837, 'reply_count': 454}",5.0,1194.0,837.0,454.0,37.4851285,126.93824039,서울특별시 관악구 봉천로 339,서울,관악구,봉천동
