name,location,vendor_categories,review,average_rating,count,image_count,reply_count,lat,lng
탐나미니박스-독산점,"{'lat': '37.468559109810904', 'lng': '126.89223169059434'}","['피자/양식', '분식', '야식', '치킨', '프랜차이즈', '포장']","{'average_rating': 5.0, 'count': 207, 'image_count': 179, 'reply_count': 206}",5.0,207.0,179.0,206.0,37.468559109810904,126.89223169059434
노량진수산시장독도수산,"{'lat': '37.5148237', 'lng': '126.93797594'}","['회/초밥', '포장']","{'average_rating': 0.0, 'count': 0, 'image_count': 0, 'reply_count': 0}",0.0,0.0,0.0,0.0,37.5148237,126.93797594
메고지고-구로점,"{'lat': '37.4936692', 'lng': '126.88924476'}","['카페/디저트', '포장', '프랜차이즈']","{'average_rating': 0.0, 'count': 0, 'image_count': 0, 'reply_count': 0}",0.0,0.0,0.0,0.0,37.4936692,126.88924476
맛깔난모두뼈다귀감자탕,"{'lat': '37.4995806', 'lng': '126.93196063'}","['포장', '한식', '찜/탕']","{'average_rating': 4.8, 'count': 43, 'image_count': 24, 'reply_count': 43}",4.8,43.0,24.0,43.0,37.4995806,126.93196063
맛닭꼬-신대방점,"{'lat': '37.4873491', 'lng': '126.91448929'}","['야식', '프랜차이즈', '치킨']","{'average_rating': 4.8, 'count': 86, 'image_count': 62, 'reply_count': 12}",4.8,86.0,62.0,12.0,37.4873491,126.91448929
메가토핑김치찜-구로디지털단지점,"{'lat': '37.4862991', 'lng': '126.9052193'}","['찜/탕', '한식', '고기/구이', '포장', '프랜차이즈']","{'average_rating': 0.0, 'count': 0, 'image_count': 0, 'reply_count': 0}",0.0,0.0,0.0,0.0,37.4862991,126.9052193
33떡볶이&꼬마김밥-신림점,"{'lat': '37.4703554', 'lng': '126.93722566'}","['찜/탕', '분식', '프랜차이즈', '아시안', '포장', '신규맛집']","{'average_rating': 0.0, 'count': 0, 'image_count': 0, 'reply_count': 0}",0.0,0.0,0.0,0.0,37.4703554,126.93722566
해운대31번종점,"{'lat': '37.4942475', 'lng': '126.88816863'}","['찜/탕', '한식', '포장', '1인분주문', '신규맛집']","{'average_rating': 5.0, 'count': 5, 'image_count': 3, 'reply_count': 1}",5.0,5.0,3.0,1.0,37.4942475,126.88816863
김명태명태조림매운갈비찜-가산점,"{'lat': '37.4773491284753', 'lng': '126.891921950858'}","['한식', '찜/탕']","{'average_rating': 4.8, 'count': 593, 'image_count': 451, 'reply_count': 593}",4.8,593.0,451.0,593.0,37.4773491284753,126.891921950858
천년닭강정-서울대림점,"{'lat': '37.487977', 'lng': '126.89811186'}","['치킨', '포장', '프랜차이즈']","{'average_rating': 5.0, 'count': 106, 'image_count': 94, 'reply_count': 106}",5.0,106.0,94.0,106.0,37.487977,126.89811186
화채꽃-금천점,"{'lat': '37.4585232', 'lng': '126.89940598'}","['카페/디저트', '도시락/죽', '포장', '프랜차이즈']","{'average_rating': 4.7, 'count': 29, 'image_count': 23, 'reply_count': 0}",4.7,29.0,23.0,0.0,37.4585232,126.89940598
파스타이거-관악점,"{'lat': '37.4797687', 'lng': '126.95751774'}","['피자/양식', '포장', '야식', '1인분주문']","{'average_rating': 0.0, 'count': 0, 'image_count': 0, 'reply_count': 0}",0.0,0.0,0.0,0.0,37.4797687,126.95751774
도시롹Rock-금천점,"{'lat': '37.4766142', 'lng': '126.90294283'}","['한식', '도시락/죽', '고기/구이', '야식', '포장']","{'average_rating': 5.0, 'count': 4, 'image_count': 5, 'reply_count': 0}",5.0,4.0,5.0,0.0,37.4766142,126.90294283
상도보글의정부부대찌개&참맛감자탕,"{'lat': '37.4992051', 'lng': '126.92765183'}","['포장', '한식', '야식']","{'average_rating': 3.7, 'count': 20, 'image_count': 2, 'reply_count': 1}",3.7,20.0,2.0,1.0,37.4992051,126.92765183
쑈궁철판구이 & 꼬치튀김,"{'lat': '37.4905713', 'lng': '126.88775095'}","['포장', '중국집']","{'average_rating': 4.8, 'count': 274, 'image_count': 257, 'reply_count': 86}",4.8,274.0,257.0,86.0,37.4905713,126.88775095
바삭한닭다리순살후라이드-대림점,"{'lat': '37.4939622', 'lng': '126.90093634'}","['분식', '야식', '치킨', '포장', '프랜차이즈', '신규맛집']","{'average_rating': 5.0, 'count': 2, 'image_count': 2, 'reply_count': 1}",5.0,2.0,2.0,1.0,37.4939622,126.90093634
패티스버거-사당점,"{'lat': '37.4835795', 'lng': '126.97124603'}","['버거', '포장', '분식', '카페/디저트']","{'average_rating': 5.0, 'count': 32, 'image_count': 23, 'reply_count': 3}",5.0,32.0,23.0,3.0,37.4835795,126.97124603
도담김치찌개&김치찜-영등포점,"{'lat': '37.5103609', 'lng': '126.91701558'}","['찜/탕', '한식', '포장', '프랜차이즈']","{'average_rating': 5.0, 'count': 3, 'image_count': 2, 'reply_count': 2}",5.0,3.0,2.0,2.0,37.5103609,126.91701558
디저트39-금천시흥점,"{'lat': '37.4590649814903', 'lng': '126.90489778682'}","['카페/디저트', '프랜차이즈']","{'average_rating': 4.8, 'count': 76, 'image_count': 49, 'reply_count': 27}",4.8,76.0,49.0,27.0,37.4590649814903,126.90489778682
전집대반전,"{'lat': '37.4995976', 'lng': '126.90827147'}","['찜/탕', '한식', '분식', '야식', '포장']","{'average_rating': 4.6, 'count': 13, 'image_count': 8, 'reply_count': 0}",4.6,13.0,8.0,0.0,37.4995976,126.90827147
족발예찬-금천롯데캐슬점,"{'lat': '37.4599733', 'lng': '126.89723655'}","['족발/보쌈', '프랜차이즈', '포장', '한식', '고기/구이']","{'average_rating': 4.9, 'count': 484, 'image_count': 512, 'reply_count': 100}",4.9,484.0,512.0,100.0,37.4599733,126.89723655
존맛곱도리탕전문점,"{'lat': '37.4940863', 'lng': '126.88847967'}","['찜/탕', '한식', '야식', '포장']","{'average_rating': 4.9, 'count': 230, 'image_count': 175, 'reply_count': 92}",4.9,230.0,175.0,92.0,37.4940863,126.88847967
